objname,ra2000,de2000,t,type,logd25,d25,bt,incl,ned_v_helio,ned_v_corr,ned_dist_z_corr,ned_dist_0,hyperleda_v_helio,hyperleda_dist_z_helio,hyperleda_dist_0,dist_best,name,ra,dec,semimaj_arcsec,axial_ratio,pos_angle,global_flag,GALEX_FUV,GALEX_FUV_err,GALEX_FUV_flag,GALEX_NUV,GALEX_NUV_err,GALEX_NUV_flag,SDSS_u,SDSS_u_err,SDSS_u_flag,SDSS_g,SDSS_g_err,SDSS_g_flag,SDSS_r,SDSS_r_err,SDSS_r_flag,SDSS_i,SDSS_i_err,SDSS_i_flag,SDSS_z,SDSS_z_err,SDSS_z_flag,2MASS_J,2MASS_J_err,2MASS_J_flag,2MASS_H,2MASS_H_err,2MASS_H_flag,2MASS_Ks,2MASS_Ks_err,2MASS_Ks_flag,WISE_3.4,WISE_3.4_err,WISE_3.4_flag,WISE_4.6,WISE_4.6_err,WISE_4.6_flag,WISE_12,WISE_12_err,WISE_12_flag,WISE_22,WISE_22_err,WISE_22_flag,Spitzer_3.6,Spitzer_3.6_err,Spitzer_3.6_flag,Spitzer_4.5,Spitzer_4.5_err,Spitzer_4.5_flag,Spitzer_5.8,Spitzer_5.8_err,Spitzer_5.8_flag,Spitzer_8.0,Spitzer_8.0_err,Spitzer_8.0_flag,Spitzer_24,Spitzer_24_err,Spitzer_24_flag,Spitzer_70,Spitzer_70_err,Spitzer_70_flag,Spitzer_160,Spitzer_160_err,Spitzer_160_flag,PACS_70,PACS_70_err,PACS_70_flag,PACS_100,PACS_100_err,PACS_100_flag,PACS_160,PACS_160_err,PACS_160_flag,SPIRE_250,SPIRE_250_err,SPIRE_250_flag,SPIRE_350,SPIRE_350_err,SPIRE_350_flag,SPIRE_500,SPIRE_500_err,SPIRE_500_flag
NGC4469,187.3668,8.74994,0.2,S0-a,1.46,2.884031756,12.37,85.5,539,275,3.754778809,16.75,586,8.001092299,16.74942788,16.74942788,NGC4469,187.3668,8.74994,304.585748122,2.96675497822,-1.93170730062,,3.57471899385E-4,5.95004654634E-5,,0.001184238026,8.29370662649E-5,,0.0175180106843,0.00173759416885,,0.0862693061172,0.00172912183738,,0.172847801735,0.00278035079816,,0.254860072845,0.00401913007042,,0.317883341953,0.00491512402663,,0.491362815618,0.0517665200185,,0.453154351803,0.0281079600044,,0.41727659551,0.0775617098418,,0.209478757525,0.00642958482227,,0.111292766999,0.0130426170882,a,0.0929972756637,0.0304138634045,,0.0867994734158,0.0391617416432,,,,,,,,,,,,,,0.0876793983836,0.00716598479671,n,1.28479893049,0.417102657685,n,3.3304339523,0.562182777399,n,,,,2.68726203983,1.06893716926,,4.46143412884,1.10740489226,,1.68130737619,0.246855700462,,0.434415799083,0.168198916672,,0.0615519210317,0.127277755155,
NGC4488,187.71405,8.36011,0.0,S0-a,1.44,2.754229066,13.08,90.0,972,1005,13.72200983,8.05,984,13.43528127,8.053786959,8.053786959,NGC4488,187.71405,8.36011,265.509685945,2.29775964624,97.1031066813,,2.76967483125E-4,1.3405942658E-4,,7.96797258572E-4,9.54599912587E-5,,0.00658091481338,0.00329029756915,,0.0413945530148,0.00342348478225,,0.0739250736149,0.00327437229771,,0.107546748234,0.00163278859937,,0.121766312981,0.00927544707003,,0.126910698308,0.056047457192,,-0.0416605710963,0.162542311002,,0.133968144681,0.0586455115666,,0.0817827375345,0.00499466615019,,0.0533054067118,0.0140425180956,A,0.0428280618569,0.0469669117473,,0.0680668787166,0.0538255334171,,0.0733749775346,0.00253714525966,N,0.0462819148111,0.00235691274856,N,,,,,,,0.016845681838,0.0190061583476,,,,,,,,,,,-0.781873801752,0.968245629952,,0.260400122954,0.711720231286,,0.0969094439685,0.188665796571,,-0.116675834231,0.205258285682,,-0.127812981989,0.105084905895,
NGC4527,188.53395,2.65334,4.0,SABb,1.8,6.309572752,11.48,81.2,1736,985,13.44893501,14.32,1736,23.70289459,14.12537855,14.12537855,NGC4527,188.53395,2.65334,417.433407772,2.94006651618,-25.3862569897,,0.00571155209896,5.47951431534E-4,,0.0063639684632,2.9083703855E-4,,0.0402805091608,0.0200946163509,,0.160829926867,0.00622172201545,,0.329778590966,0.0148591326554,,0.494788130502,0.0179858732629,,0.646904705533,0.0735416805147,,1.02457722042,0.104778011292,,1.24814810954,0.428702923005,,1.19401552854,0.268795944427,,0.646363544791,0.025784974921,,0.404314128786,0.0270814246429,,2.19141654804,0.106922808075,,3.33623790961,0.196024156457,,0.649186093872,0.0213379509618,N,0.511165921656,0.0173053399116,N,,,,,,,,,,,,,,,,,,,79.743087371,5.80209336262,n,88.4823627177,6.25302370502,n,46.3625240211,2.55881900837,,19.9189948852,1.10939415957,,7.00536601994,0.392521654025,
NGC4532,188.5809,6.46756,9.7,IB,1.4,2.511886294,12.27,90.0,2012,998,13.62643364,14.62,2015,27.51228837,11.11731737,11.11731737,NGC4532,188.5809,6.46756,221.849415376,1.85813120035,69.5571444794,,0.0124488871559,5.6483014169E-4,,0.0181476126269,5.00174623214E-4,,0.0331389164847,0.00276392512528,,0.0618914597209,0.00188092222695,,0.0848077807288,0.00280858093171,,0.102176300061,0.0059289778663,,0.0996414899522,0.0098433839736,,0.102786871642,0.0325010706898,,0.139281708263,0.10079361044,,0.150900312852,0.05992530238,,0.0793934629206,0.005541926715,,0.0475427004344,0.0146896678903,,0.26142051319,0.0158751364846,,0.781856876044,0.0511598070973,,0.082140374828,0.00353294284096,n,0.0493415892323,0.00262821756633,,0.0428004577536,0.00904998475879,n,0.236674358165,0.00900684659513,n,0.82659139557,0.0431617808636,N,10.0483800313,1.04189988131,N,14.4157556304,-1.72989067565,N,,,,19.0927024403,1.84280454668,,15.9505111626,1.54445517807,,7.46841935408,0.439590393106,,3.39477874071,0.253489047159,,1.35063290336,0.0997036678006,
NGC4565,189.08655,25.98719,3.3,Sb,2.22,16.59587017,10.06,90.0,1230,1983,27.07536865,12.09,1226,16.73948662,12.0781322,12.0781322,NGC4565,189.08655,25.98719,1003.81684081,7.63252900173,46.0507064817,,0.00977729801679,4.4051625238E-4,,0.0164038158207,7.13833050179E-4,,0.13052678468,0.0617568424888,,0.389270645447,0.036331188153,,0.772215124945,0.0356089704338,,1.13356024253,0.111979008808,,1.47763513077,0.0128762535982,,2.46942635251,0.290505745421,,3.06518451067,0.198789663652,,3.02122123665,0.480524516499,,1.50706517515,0.0454344751731,,0.86189132789,0.0294202549943,,1.57458441161,0.0802221580283,,1.78635265256,0.101509580181,,1.45412950164,0.0437869311039,N,0.9590990889,0.0288606298939,N,1.03695761727,0.0318024457459,N,1.81289653525,0.0547746199543,n,1.12959537268,0.0567955909242,n,20.5773374493,2.06195341395,N,93.1835858406,11.1865583129,n,,,,,,,,,,60.3177228629,3.32311774398,n,30.7876961203,1.70351458856,n,12.652278744,0.701131722356,n
NGC4586,189.6183,4.31902,1.2,Sa,1.54,3.4673682,12.59,86.2,794,990,13.51720371,16.3,785,10.71818678,13.06171416,13.06171416,NGC4586,189.6183,4.31902,271.020277618,3.13244659276,23.9989036823,,5.5234464957E-4,6.0972442463E-4,,0.00114567613211,8.587470868E-5,,0.0126282721884,0.00297988409443,,0.0553216447845,0.00256478547843,,0.108180594076,0.00187984921511,,0.162922544776,0.00407371505296,,0.196937625218,0.0149275743709,,0.302241614794,0.0608595197045,,0.36980468864,0.040215495419,,0.311634165407,0.0771646091594,,0.131272218756,0.00439754718683,,0.0694050929489,0.00480218103233,,0.0704792071519,0.00897201322882,,0.0483717977323,0.01654330404,,0.121059791415,0.00372801889528,N,0.0783445697546,0.00238373117438,N,,,,,,,,,,,,,,,,,,,1.0383917733,1.01118368495,,2.78649991998,0.704022753396,,2.18890519083,0.15271239475,n,1.00336894096,0.196819127312,n,0.433164933715,0.0385328167628,n
NGC4592,189.82815,-0.53196,8.0,Sd,1.61,4.073802912,12.57,90.0,1069,1057,14.43200437,11.63,1068,14.58219552,11.64125989,11.64125989,NGC4592,189.82815,-0.53196,417.960029687,3.41411426823,3.37574087822,,0.0142300597241,6.42480627471E-4,,0.0169169506686,4.60990196321E-4,,0.0268577278978,4.62333747464E-4,,0.0627622929653,6.17164119296E-4,,0.0886683217754,8.53880602997E-4,,0.0979582695014,0.00150511829021,,0.0946352588198,0.00201201637712,,0.128000392835,0.00817793057177,a,0.133864685989,0.0310782308253,A,0.0376833332376,0.0193171464538,a,0.0545168941079,0.00219157389046,,0.0254392496626,0.00208449404325,,0.101180549539,0.00743364375558,,0.151007560155,0.0222763772807,,0.0601045442809,0.00213540245908,N,0.041027994404,0.00281325167544,N,0.0363540523322,0.0047728672899,N,0.112903429942,0.00401859933051,N,0.146995018777,0.00922428521886,N,,,,,,,,,,5.06808320825,1.60107709513,n,5.37774906685,1.76920098707,n,4.64861278054,0.300890969974,,2.72047947979,0.1931384934,,1.47165935913,0.132816871899,
NGC4607,190.3014,11.88627,4.0,SBbc,1.46,2.884031756,13.74,90.0,2270,1014,13.8448935,17.78,2248,30.69361005,19.95263191,19.95263191,NGC4607,190.3014,11.88627,191.970315755,2.31434192628,90.3954688947,,2.99633796995E-4,4.50455696632E-5,,7.03606169951E-4,5.14516256132E-5,,0.00627851130917,8.4448905983E-4,,0.0187412112771,8.99289389302E-4,,0.0356079114606,0.00150227167862,,0.0524397931958,0.00205071934554,,0.0622401114124,0.0064655630568,,0.105714723263,0.0290316799509,,0.207645068403,0.0735715033991,,0.150095006706,0.0534761307112,,0.0639749642086,0.00304536462957,,0.0458697785467,0.0037490183437,,0.198726905458,0.0135840405241,,0.303307043564,0.0225860350892,,0.065440665114,0.0021935558633,,0.0472968339444,0.00180024555575,,0.0856408124766,0.00784670087409,,0.233442521481,0.00755878743958,,0.268979785239,0.0138217471722,,4.29309174766,0.433243490117,,9.46694601349,1.16001320342,,,,,8.73077895253,0.797960974557,,10.3600031884,0.937550077401,,5.47392551855,0.352303863724,,2.31785326899,0.171783044401,,0.854823818979,0.107323411648,
NGC4631,190.53285,32.54239,6.6,SBcd,2.16,14.45440056,9.47,90.0,606,553,7.550518842,5.69,616,8.410704533,7.345141649,7.345141649,NGC4631,190.53285,32.54239,904.377601652,2.80897730995,-6.9242694836,c,0.104323232831,0.00469646540948,c,0.131987682435,0.00357133679951,c,0.229762393022,0.00573237004949,c,0.659064199228,0.00842575546302,c,0.923109816153,0.00989887129669,c,1.12055185052,0.0115306313549,c,1.2576612014,0.0391311040287,c,2.00512124379,0.0835911160521,c,3.13243190138,0.19739588252,c,2.72399363165,0.147644375519,c,1.20252012291,0.0354156976264,c,0.783964141588,0.0275724558296,c,5.37067688909,0.247584631006,c,9.00804547563,0.506996296471,c,1.25709912932,0.0418127173703,cN,0.917289744317,0.0295263370999,cN,2.14526903139,0.0710161811683,cN,5.68918248019,0.171035571045,acN,6.96190144281,0.3586379567,acn,119.237494792,11.9507351798,acn,233.794895555,28.0885551391,cn,143.789811626,10.2535004707,,241.514865482,17.87753944,,254.939664586,17.8894822193,,119.555387137,6.61761427896,c,53.7234984452,2.99167509947,c,19.9978257043,1.14505104196,c
NGC4656,190.9896,32.17016,9.0,SBm,1.81,6.45654144,9.82,90.0,646,599,8.178590934,5.5,604,8.24685964,5.248077829,5.248077829,NGC4656,190.9896,32.17016,710.578874474,4.39486767699,126.567118011,,0.0863638555038,0.0039045471286,,0.0899488413473,0.00244202625396,,0.102599546684,0.0162282546673,,0.190346568035,0.0127830355257,,0.208306988426,0.0208906550061,,0.22055567422,0.0316228416492,,0.155860920754,0.112924968095,,0.270758963348,0.472574775315,,0.195052532597,0.241801608359,,0.181665144342,0.51576379793,,0.0921409757691,0.00741363671152,,0.061786106567,0.0108756802314,,0.120733258852,0.0111218130377,,0.487985152633,0.0858340371955,,0.106235209007,0.00381605679646,n,0.0914699119056,0.00442070440301,n,0.0234500816701,0.0165249614684,n,0.0895955022791,0.00646252005854,n,0.330543855265,0.0199830785096,a,,,,,,,,,,9.04433127276,2.24936758475,,16.3345903317,3.55542779311,N,6.59304863756,0.44604052966,,5.19762144886,0.778465674019,,1.25869068616,0.135883874923,
NGC4758,193.1847,15.84656,9.1,SBm,1.44,2.754229066,13.57,90.0,1243,1023,13.96777717,14.44,1242,16.95794648,13.48963238,13.48963238,NGC4758,193.1847,15.84656,198.319591385,2.55680354155,64.8887899058,,0.00144352076801,1.15691362436E-4,,0.00161349427428,6.46380980231E-5,,0.00795056946227,0.00149625430756,,0.0219380116913,0.0015985238672,,0.0377081352766,0.00159128097246,,0.0496439925493,0.00314780368185,,0.0595758496706,0.00539519048018,,0.0812416032338,0.0164696232612,,0.135427037379,0.0643759480342,,0.0768028487999,0.0254943513279,,0.0415918124552,0.00191146754756,,0.0262335202845,0.00191676703731,,0.0689394234328,0.0072435221869,,0.104656147826,0.0129480289423,,0.0371903896403,0.00170370634877,n,0.0255048837669,0.00111558384707,N,,,,,,,,,,,,,,,,,,,3.3170963925,0.604269565371,,2.89193023416,0.568073094664,,2.83101929659,0.23713351579,,1.50999545865,0.130801227678,,0.670623646992,0.062563977841,
NGC4845,194.505,1.57587,2.3,Sab,1.74,5.495408859,12.14,90.0,1232,1813,24.75423266,19.5,1106,15.10103768,18.53532161,18.53532161,NGC4845,194.505,1.57587,290.167252789,3.44328830349,-10.3637395865,,0.00116624759642,8.1995128035E-5,,0.00138233471063,1.31026853075E-4,,0.0196756301114,0.00317109006134,,0.0894188221335,0.00181960498097,,0.184040743664,0.00314453228802,,0.274710670421,0.00646425198915,,0.347838192742,0.0273341926991,,0.496740796116,0.0366674769635,,0.555473961345,0.0992472567826,A,0.493970961657,0.0825832550402,,0.288619033641,0.00962495789842,,0.167580594555,0.00706416345843,,0.328531931057,0.0422579740194,,0.559834018339,0.0838261525821,,0.267526999974,0.00807764110492,,0.182433153867,0.00554943513886,,,,,,,,,,,,,,,,,,,,23.1986252578,1.76739645041,n,28.0101475017,2.06053057575,n,12.8702896212,0.714829100542,,5.55414338487,0.317299135241,,1.91895030424,0.110913942951,
NGC5023,198.04905,44.03806,5.9,Sc,1.79,6.165949477,12.81,90.0,407,524,7.15456035,9.5,407,5.557072638,6.576575947,6.576575947,NGC5023,198.04905,44.03806,342.619652565,4.23915026418,115.05088138,,0.00489898924502,2.36851056088E-4,,0.00733236180114,2.19815926838E-4,,0.0184413694867,0.00273274551641,,0.0425502641874,0.00350237166452,,0.0621792429767,0.00292935971988,,0.0752500385536,0.00530155125456,,0.0709567184801,0.00754012406232,,0.052692387179,0.0373433120306,,0.0468542335901,0.0862812335987,,0.00848329997449,0.0710718075539,,0.0439136266375,0.00320883639686,,0.0209967077031,0.00305842238726,,0.0269097635642,0.00999334672938,,0.0374984016546,0.0185561391653,,0.0452333168176,0.00180220707475,n,0.0307822587776,0.00129395077137,n,0.0164741276982,0.00315992675274,n,0.0234792576824,0.00150530634593,n,0.0542296376846,0.0117528840455,,,,,,,,,,,2.60753343388,0.552148714301,,2.46559654882,0.455452482194,,1.65320268398,0.274266459575,,1.09917445992,0.212678502272,,0.522135259815,0.131260087511,
NGC5290,206.32965,41.71242,4.0,Sbc,1.51,3.235936498,13.29,80.5,2573,3136,42.81813217,35.01,2560,34.95357728,32.96098077,32.96098077,NGC5290,206.32965,41.71242,199.716596972,2.21275717595,-2.44253856424,,0.00119067294525,1.646421613E-4,,0.00126041347036,7.74504083691E-5,,0.00965352303906,7.58174121787E-4,,0.04051763315,9.55891558374E-4,,0.0827863312976,0.00108992122336,,0.126242964596,0.0021018167404,,0.163126818875,0.00619661203629,,0.264651946391,0.0196214840819,,0.308127472328,0.0710481869215,,0.274751093374,0.0309573906083,,0.155242887221,0.00479490092756,,0.0971101850832,0.00353469876474,,0.204262723025,0.00988728616651,,0.224114914458,0.0161370696998,,0.150865878904,0.00460222629726,,0.104577709457,0.00322369594831,,,,,,,,,,,,,,,,,1.56802783333,0.621007418656,N,,,,6.37612262552,2.1579674687,N,5.23977391589,0.317905803347,,2.325728318,0.13873674762,,0.791151953316,0.0656786301884,
